Address,Land,Road,Price,Bedroom,Bathroom,Face,Floor,City
Aakasedhara,1711.25,12,31500000,6,5,South West,2.5,Kathmandu
Aarubari,1369,12,35000000,5,3,East,2.5,Kathmandu
Anamnagar,1129.425,11,42500000,6,5,South West,3.5,Kathmandu
Aryal-Gaun,1369,13,27500000,3,5,South,3,Kathmandu
Attarkhel,1095.2,13,30000000,8,3,East,3,Kathmandu
Badeli,1711.25,13,30000000,4,3,West,2.5,Kathmandu
Bafal,1197.875,13,22500000,5,3,East,2.5,Kathmandu
Bafal,1026.75,10,23000000,6,2,South,2,Kathmandu
Bafal,752.95,12,23500000,6,2,North,2.5,Kathmandu
Bafal,1026.75,12,24500000,4,3,east,2.5,Kathmandu
Bafal,1540.125,13,24500000,7,3,North,2.5,Kathmandu
Bafal,1437.45,13,27500000,4,4,South,2.5,Kathmandu
Bafal,1369,13,28500000,5,3,South West,2,Kathmandu
Bafal,1369,10,31000000,7,3,South,3,Kathmandu
Bafal,1129.425,15,31000000,5,3,North East,2.5,Kathmandu
Bafal,1369,16,31000000,6,3,South West,2.5,Kathmandu
Bafal,1369,12,36500000,5,4,South,2.5,Kathmandu
Bafal,1711.25,13,36500000,5,4,South,3,Kathmandu
Bafal,1095.2,13,37000000,4,3,North East,2.5,Kathmandu
Bafal,1095.2,14,37000000,4,3,North East,2.5,Kathmandu
Bafal,1369,13,37500000,7,4,East,2,Kathmandu
Bafal,2395.75,14,47500000,6,3,West,2.5,Kathmandu
Bafal,2887.73,12,58000000,6,5,East,2.5,Kathmandu
Bafal,2840.675,13,60000000,4,5,East,3.5,Kathmandu
Bafal,3148.7,13,70000000,3,4,East,2.5,Kathmandu
Bagdol,1711.25,15,29000000,4,4,South,2.5,Lalitpur
Bagdol,1813.925,20,54000000,7,4,South East,2.5,Lalitpur
Bagdol,1262.046875,20,19500000,4,4,West,2,Lalitpur
Balaju,1711.25,12,17500000,4,2,East,2,Kathmandu
Balaju,1240.65625,13,14200000,5,2,North West,2,Kathmandu
Balaju,2053.5,14,25000000,3,3,South,3,Kathmandu
Balaju,1540.125,13,26000000,4,3,East,2.5,Kathmandu
Balaju,1796.8125,13,26000000,4,3,East,2,Kathmandu
Balaju,3422.5,14,48500000,4,4,East,3,Kathmandu
Balaju,3422.5,16,55000000,7,2,South,2.5,Kathmandu
Balambu,727.28,10,11000000,4,3,East,2,Kathmandu
Balambu,855.625,10,14500000,5,3,South East,2.5,Kathmandu
Balambu,1026.75,16,17000000,6,3,East,3,Kathmandu
Balambu,1369,13,29000000,5,4,South East,2.5,Kathmandu
Balkhu,1026.75,16,22300000,3,3,North,2.5,Kathmandu
Balkhu,1026.75,16,22350000,3,3,North,2.5,Kathmandu
Balkhu,1796.8125,20,23000000,3,2,East,3,Kathmandu
Balkhu,787.175,20,24900000,3,3,North,2.5,Lalitpur
Balkhu,2053.5,12.5,42500000,8,3,South West,3,Kathmandu
Balkhu,2652.4375,16,45000000,4,3,East,2.5,Kathmandu
Balkhu,3080.25,10,49500000,7,7,South,3,Kathmandu
Balkhu,2738,20,72000000,7,5,West,2.5,Kathmandu
Balkhu,2738,20,72500000,6,5,South,3,Kathmandu
Balkot,1369,13,14500000,5,3,West,2.5,Bhaktapur
Balkot,1026.75,10,19000000,3,4,North,3,Bhaktapur
Balkot,1711.25,13,24000000,6,3,East,2.5,Bhaktapur
Balkot,1155.09375,13,27500000,4,4,West,2.5,Bhaktapur
Balkot,1129.425,13,28000000,5,5,West,3,Bhaktapur
Balkot,1796.8125,20,29000000,3,3,North,2,Bhaktapur
Balkot,2053.5,10,42500000,4,4,South,3.5,Bhaktapur
Balkot,3422.5,13,75000000,6,5,East,3.5,Bhaktapur
Balkumari,1026.75,13,22500000,7,1,West,3.5,Lalitpur
Balkumari,1471.675,13,47000000,5,4,South,3,Lalitpur
Balkumari,3508.0625,20,47000000,4,4,South,2,Lalitpur
Balkumari,3080.25,13,60000000,6,6,East,3.5,Lalitpur
Baluwakhani,1026.75,12,21500000,4,3,South East,3,Kathmandu
Baluwakhani,1095.2,10,27500000,6,4,West,2.5,Kathmandu
Baluwakhani,1745.475,13,34500000,7,5,East,2.5,Kathmandu
Baluwatar,770.0625,15,23000000,4,2,East,3,Kathmandu
