price,Location,Floor,Land Mark,Land,Road,Bathroom,Bedroom,url
47500000,"103, Machaga Marg, Mali Gaun, Bhatbhateni, Kathmandu, Bagmati Pradesh, 00975, Nepal",2.5,,1403.225,12,3,5,https://hamrobazaar.com/for-sale-house/house-on-sale-inside-gated-colony-in-kathmandu/44a454b4de19484a80cf68ee2eb9a328
35000000,Gokarneshwar,2.5,"Gokarna temple, near hanuman chock",2566.875,20,4,5,https://hamrobazaar.com/for-sale-house/house-for-sales-in-gokarna-kathmandu-in-kathmandu/3dee3c5ba4ca4001b9fef7e1d810fb69
35000000,Dhumbarahi,3,,1369,13,4,5,https://hamrobazaar.com/for-sale-house/imadol-tikathali-pani-panki-in-nepal/5e6ca4b1f6c7412fb3d263c326d70219
26000000,"467, Kathmandu Ringroad, Sungava Chok, Dhumbarahi, Kathmandu Metropolitan Ward 4, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 44660, Nepal",3,3ann,1026.75,12,3,6,https://hamrobazaar.com/for-sale-house/house-for-sale-in-bara/6bc038efb358498b8ca0c54e24388f14
47500000,ठुलो भर्यांङ,3,Thulo bhareng Kathmandu,1561.51,20,6,7,https://hamrobazaar.com/for-sale-house/brand-new-semi-bunglow-on-sale-ktm-in-nepal/e89cd5a8ccba4a18b3fb81cf64f712e3
22500000,"नया नैकाप,",3,"burger House, school, hospital",1369,13,3,5,https://hamrobazaar.com/for-sale-house/balambhu-house-on-sale-in-nepal/0a0f3302d6974634b540432c29c2572a
115000000,"नारायण गोपाल सडक, लाजिम्पाट",3,lazimpat,3422.5,20,5,5,https://hamrobazaar.com/for-sale-house/bungalow-for-sale-lazimpat-in-nepal/71113dfcf5ac406bb1e017812c453489
80000000,नारायण गोपाल चोक,5,Back side of Thapa complex,4107,13,10,20,https://hamrobazaar.com/for-sale-house/five-storeyed-house-on-sale-in-basundhara-in-nepal/cbe6787c19cd4be0857c313c40288f8c
25000000,सानो भर्यांङ,1,,1026.75,12,2,3,https://hamrobazaar.com/for-sale-house/sano-bharyang-in-nepal/b2d1a93ff08d4d028585b501e689a302
120000000,सानेपा,3,,3764.75,13,5,5,https://hamrobazaar.com/for-sale-house/for-sale-house-sanepa-11-aana-in-nepal/b6e32833e7da49889f8980cc51a05fc7
27500000,"सीतापाखा, इमाडोल",3,,855.62,13,4,5,https://hamrobazaar.com/for-sale-house/220-in-nepal/4d7c4369d24f447a8736032b0070b893
27500000,"सीतापाखा, इमाडोल",3,,1026.75,13,5,6,https://hamrobazaar.com/for-sale-house/imadol-rajkulo-chowk-highway-najeek-in-nepal/8196e60a332d488d835e79712a94828a
16000000,"सीतापाखा, इमाडोल",2,,1026.75,13,2,4,https://hamrobazaar.com/for-sale-house/in-nepal/a5a112549ba84d4fb5b6a7d088d21258
26500000,"सीतापाखा, इमाडोल",3,,1112.31,13,4,5,https://hamrobazaar.com/for-sale-house/imadol-tikathali-pawan-pakriti-in-nepal/186c148b0f7d46968e1b740cdebdcc10
28500000,"सीतापाखा, इमाडोल",3,,1197.87,13,5,6,https://hamrobazaar.com/for-sale-house/commercial-in-nepal/aeafc843f7124653972914373500a82d
27500000,"सीतापाखा, इमाडोल",3,,1197.87,13,4,4,https://hamrobazaar.com/for-sale-house/imadol-sanagau-pani-tanki-in-nepal/2a668bc516034961bff034ccd31e5aad
32500000,"सीतापाखा, इमाडोल",3,,1283.43,13,5,6,https://hamrobazaar.com/for-sale-house/imadol-rajkulo-chowk-highway-najeek-in-nepal/f8aa66e960e7448db9c57d84a027135b
36000000,"सीतापाखा, इमाडोल",3,,1369,20,6,6,https://hamrobazaar.com/for-sale-house/house-for-sale-in-shital-height-in-nepal/dc4d6d454bdb4301a05287628d3dbd1a
27500000,"सीतापाखा, इमाडोल",3,,1369,13,4,5,https://hamrobazaar.com/for-sale-house/in-nepal/2066d3f393f74cf4bbf30751d30b7cd6
36500000,"सीतापाखा, इमाडोल",3,"gwarko, hattiban, imadol, lubhu",1369,13,4,5,https://hamrobazaar.com/for-sale-house/in-nepal/d883ad38eb404ba78733adee5ff52e2a
